id,description,en,fr
birth.search.criteria.label.prefix.child,Child prefix,Child's,De l'enfant
birth.search.criteria.label.prefix.father,Father prefix,Father's,Du père
birth.search.criteria.label.prefix.informant,Informant prefix,Informant's,Du déclarant
birth.search.criteria.label.prefix.mother,Mother prefix,Mother's,De la mère
certificates.birth.certificate,Birth Certificate,Birth Certificate,Acte de naissance
certificates.birth.certificate.copy,Birth Certificate Certified Copy,Birth Certificate Certified Copy,Copie certifiée conforme de l'acte de naissance
certificates.birth.registration.receipt,Birth Registration Receipt,Birth Registration Receipt,Reçu d'enregistrement de naissance
certificates.death.certificate,Death Certificate,Death Certificate,Certificat de décès
certificates.death.certificate.copy,Death Certificate Certified Copy,Death Certificate Certified Copy,Copie certifiée conforme du certificat de décès
certificates.marriage.certificate,Marriage Certificate,Marriage Certificate,Acte de mariage
certificates.marriage.certificate.copy,Marriage Certificate Certified Copy,Marriage Certificate Certified Copy,Copie certifiée conforme de l'acte de mariage
certificates.tennis-club-membership.certificate.alpha,The label for a tennis club membership certificate for alpha print button testing,Tennis Club Membership Certificate Alpha,Certificat d'adhésion au club de tennis Alpha
certificates.tennis-club-membership.certificate.certified-copy,The label for a tennis-club-membership certificate,Tennis Club Membership Certificate certified copy,Copie certifiée du certificat d'adhésion au club de tennis
certificates.tennis-club-membership.certificate.copy,The label for a tennis-club-membership certificate,Tennis Club Membership Certificate copy,Copie du certificat d'adhésion au club de tennis
certificates.tennis-club-membership.certificate.multipage,The label for a tennis club membership certificate,Tennis Club Membership Certificate Multipage,Certificat d'adhésion au club de tennis multipage
correction.corrector.identity.instruction,The title for the corrector form,Please verify the identity of the person making this request,Please verify the identity of the person making this request
correction.corrector.identity.verified,Label for verified option in corrector identity check page,I have verified their identity,I have verified their identity
correction.corrector.identity.verified.label,The title for the corrector form,@todo,@todo
correction.corrector.paragraph.title,The title for the corrector form,"For all record corrections at a minimum an affidavit must be provided. For material errors and omissions eg. in paternity cases, a court order must also be provided.","Pour toutes les corrections de dossiers, il faut au moins fournir un affidavit. Pour les erreurs matérielles et les omissions, par exemple dans les cas de paternité, une décision de justice doit également être fournie."
correction.requester.relationshop.intro.label,The title for the corrector form,Note: In the case that the child is now of legal age (18) then only they should be able to request a change to their birth record.,"Note : Si l'enfant a atteint l'âge légal (18 ans), il est le seul à pouvoir demander une modification de son acte de naissance."
correction.supportingDocuments.attest.label,Label for attestation of supporting documents,Attest,Attestation
correction.supportingDocuments.notNeeded.label,Label for indicating supporting documents are not needed,Not Needed,Non nécessaire
dashboard.completenessTitle,Completeness title,Completeness Dashboard,Tableau de bord de complétude
dashboard.registrationsTitle,Registrations title,Registrations Dashboard,Tableau de bord des enregistrements
dashboard.registryTitle,Registry title,Registry,Registre
death.search.criteria.label.prefix.deceased,Deceased prefix,Deceased's,Du défunt
death.search.criteria.label.prefix.informant,Informant prefix,Informant's,De l'informateur
error.child.weightAtBirth.invalidNumberRange,This is the error message for invalid number range,Must be within 0 and 6,Doit être compris entre 0 et 6
error.invalidInput,Error message when generic field is invalid,Invalid input,Entrée invalide
error.invalidName,This is the error message for invalid name,"Input contains invalid characters. Please use only letters (a-z, A-Z), numbers (0-9), hyphens (-) and apostrophes(')","L'entrée contient des caractères non valides. Veuillez n'utiliser que des lettres (a-z, A-Z), des chiffres (0-9), des traits d'union (-) et des apostrophes (')"
error.invalidNationalId,This is the error message for an invalid national ID,The national ID can only be numeric and must be 10 digits long,La pièce d'identité nationale ne peut être que numérique et doit comporter 10 chiffres
event.action.declare.form.section.person.field.age.error,Error message for invalid age,Age must be between 12 and 120,L'auteur doit avoir entre 12 et 120 ans
event.birth.action.Read.label,This is shown as the action name anywhere the user can trigger the action from,Read,Lire
event.birth.action.approve.audit-history-label,The label to show in audit history for the approve action,Approved,Approuvé
event.birth.action.approve.confirmationText,This is the confirmation text for the approve action,Approving this declaration confirms it as legally accepted and eligible for registration.,L'approbation de cette déclaration confirme qu'elle est légalement acceptée et éligible à l'enregistrement.
event.birth.action.approve.label,This is shown as the action name anywhere the user can trigger the action from,Approve,Approuver
event.birth.action.certificate.form.cancel,This is the label for the verification cancellation button,Identity does not match,L'identité ne correspond pas
event.birth.action.certificate.form.cancel.confirmation.body,This is the body for the verification cancellation modal,"Please be aware that if you proceed, you will be responsible for issuing a certificate without the necessary proof of ID from the collector","Sachez que si vous continuez, vous serez responsable de la délivrance d'un certificat sans le justificatif d'identité requis de la part de la personne qui le retire"
event.birth.action.certificate.form.cancel.confirmation.title,This is the title for the verification cancellation modal,Print without proof of ID?,Imprimer sans justificatif d'identité ?
event.birth.action.certificate.form.label,This is what this form is referred as in the system,Birth certificate collector,Personne retirant le certificat de naissance
event.birth.action.certificate.form.section.collectPayment.data.label,Title for the data section,Payment details,Détails du paiement
event.birth.action.certificate.form.section.collectPayment.fee.label,Title for the data entry,Fee,Frais
event.birth.action.certificate.form.section.collectPayment.service.label,Title for the data entry,Service,Service
event.birth.action.certificate.form.section.collectPayment.service.label.afterLateRegistrationTarget,Birth registration after 365 days of date of birth,Birth registration after 365 days of date of birth,Enregistrement de naissance après 365 jours de la date de naissance
