id,description,en,fr
buttons.confirm,Label used for confirm button,Confirm,Confirmer
buttons.continue,Label used for continue button,Continue,Continuer
buttons.login,The title that appears in step one of the form,Login,Se connecter
constants.emailAddress,Label used for email address input field,Email address,Adresse e-mail
constants.phoneNumber,Label used for phone number input field,Phone number,Numéro de téléphone
constants.skipToMainContent,Label for a keyboard accessibility link which skips to the main content,Skip to main content,Passer au contenu principal
error.errorEmailAddressNotFound,Error message for email address not found,Email address not found.,Adresse e-mail introuvable.
error.errorPhoneNumberNotFound,Error message for phone number not found,Phone number not found,Numéro de téléphone mobile non trouvé.
error.networkError,The error that appears when there is no internet connection,Unable to connect to server,Impossible de se connecter au serveur
error.required.password,New password required,Invalid password,Le nouveau mot de passe n'est pas valide
label.error,Generic error message for invalid form nput,Invalid input,Entrée invalide
login.clearForm,,Clear form,Effacer le formulaire
login.codeSubmissionError,The error that appears when the user entered sms code is unauthorised,Incorrect verification code. Please try again,"Désolé, ce code n'a pas fonctionné."
login.fieldMissing,The error if user doesn't fill all the field,Enter your username and password,Nom d'utilisateur/mot de passe requis
login.forbiddenCredentialError,The error that appears when the user entered details are forbidden,User is currently deactivated,L'utilisateur est actuellement désactivé.
login.forgotPassword,The label that appears on the Forgot password button,Can't login?,Vous ne pouvez pas vous connecter ?
login.language,Language name,"{language, select, en {English} fr {Français} other {{language}}}","{language, select, en {English} fr {Français} other {{language}}}"
login.manager.performanceAppDescription,,Analyse the performance of a particular area of your country in it's Civil Registration.,Analysez les performances d'une région particulière de votre pays en matière d'enregistrement des faits d'état civil.
login.manager.performanceAppTitle,,Performance Management,Gestion des performances
login.manager.registerAppDescription,,"Manage declarations, registrations and certifications here.","Gérez ici vos déclarations, enregistrements et certifications."
login.manager.registerAppTitle,,OpenCRVS,Page d'accueil OpenCRVS
login.mobileLabel,,Mobile number,Numéro de téléphone mobile
login.mobilePlaceholder,,07123456789,7123456789
login.optionalLabel,Optional label,Optional,Optionel
login.passwordLabel,The label that appears on the password input,Password,Mot de passe
login.resend,Text for button that resends SMS or email verification code,"Resend {notificationMethod, select, sms {SMS} email {Email} other {}}","Renvoyer le {notificationMethod, select, sms {SMS} email {Email} other {}}"
login.resentEMAIL,The message that appears when the resend button is clicked and tells user than code is resent to email,Authentication code sent to {email},Nous venons de vous envoyer un autre code à {email}.
login.resentSMS,The message that appears when the resend button is clicked and tells user than code is resent to email,Authentication code sent to {number},Nous venons de vous envoyer un autre code à {number}.
login.stepOneInstruction,The instruction that appears in step one of the form,Please enter your username and password.,Veuillez entrer votre nom d'utilisateur et votre mot de passe.
login.stepOneText,The instruction that appears in step one of the login form,Login to Farajaland CRVS,Connectez-vous à Farajaland CRVS
login.stepTwoInstruction.email,The instruction that appears in step two of the form that lets users know that code has been sent to email,An authentication code has been sent to {email}. This code will be valid for 10 minutes,Un code d'authentification a été envoyé à {email}. Ce code sera valable 10 minutes
login.stepTwoInstruction.sms,The instruction that appears in step two of the form that lets users know that code has been sent to phone,An authentication code has been sent to {number}. This code will be valid for 10 minutes,Un code de vérification a été envoyé à votre téléphone. se terminant par {number}. Ce code sera valide pendant 5 minutes.
login.stepTwoResendTitle,The title that appears in step two of the form after resend button click,Authentication code resent,Envoi du code de vérification
login.stepTwoTitle,The title that appears in step two of the form,Verify your account,Vérifier votre compte
login.submissionError,The error that appears when the user entered details are unauthorised,Incorrect username or password,Désolé que le nom d'utilisateur et le mot de passe n'aient pas fonctionné.
login.submit,The label that appears on the submit button,Login,Se connecter
