id,description,en,fr
action.action,Label for action button,Action,Action
action.assignee,Label for asignee,Assigned to {name } at {officeName},Attribué à {name} chez {officeName}
action.correct,Label for correct record button in dropdown menu,Correct record,Enregistrement correct
action.noActionsAvailable,Message shown on action menu if no actions are available,No actions available,Aucune action disponible
action.view,Label for view button in dropdown menu,View {recordOrDeclaration},"voir {recordOrDeclaration, select, record{enregistrer} other{déclaration}}"
actionModal.cancel,The label for cancel button of action modal,Cancel,Annuler
actionModal.confirm,The label for confirm button of action modal,Confirm,Confirmer
actionModal.description,The description for action modal,The informant will be notified of this decision and a record of this decision will be recorded.,L'informateur sera informé de cette décision et celle-ci sera consignée dans un dossier.
actions.edit,Edit action label,Edit,Modifier
actions.notify,Notify action label,Notify,Notifier
actions.read,Action label for reading a record from the workqueue,Review,Reviser
advancedSearch.accordion.hide,Label for hide button when accordion is closed,Hide,Cacher
advancedSearch.accordion.show,Label for show button when accordion is closed,Show,Voir
advancedSearch.form.childDetails,The title of Child details accordion,Child details,information de l'enfant
advancedSearch.form.deceasedDetails,The title of Deceased details accordion,Deceased details,information du défunt
advancedSearch.form.eventDetails,The title of event details accordion,Event details,Détails de l'évènement
advancedSearch.form.fatherDetails,The title of Father details accordion,Father details,Information du père
advancedSearch.form.informantDetails,The title informant details form,Informant details,information de l'informateur
advancedSearch.form.motherDetails,The title of Mother details accordion,Mother details,Information de la mère
advancedSearch.form.recordStatusAny,Option for form field: status of record,Any status,Tout statut
advancedSearch.form.recordStatusArchived,Option for form field: status of record,Archived,Archivé
advancedSearch.form.recordStatusDeclared,Option for form field: status of record,Declared,Déclaré
advancedSearch.form.recordStatusNotified,Option for form field: status of record,Notified,Notifié
advancedSearch.form.recordStatusRegistered,Option for form field: status of record,Registered,Inscrit
advancedSearch.form.registrationDetails,The title of Registration details accordion,Registration details,Détails d'inscription
advancedSearch.registeredAt,Label for date of registration field,Date of registration,Date d'enregistrement
advancedSearch.registeredAtLocation,Label for place of registration field,Place of registration,Lieu d'enregistrement
advancedSearch.registeredAtLocation.helperText,Helper text for place of registration field,"Search for a province, district or registration office","Rechercher une province, un district ou un bureau d'enregistrement"
advancedSearch.registrationNumber,Label for registration number field,Registration number,Numéro d'enregistrement
